temperature_2_m_above_gnd,relative_humidity_2_m_above_gnd,mean_sea_level_pressure_MSL,total_precipitation_sfc,snowfall_amount_sfc,total_cloud_cover_sfc,high_cloud_cover_high_cld_lay,medium_cloud_cover_mid_cld_lay,low_cloud_cover_low_cld_lay,shortwave_radiation_backwards_sfc,wind_speed_10_m_above_gnd,wind_direction_10_m_above_gnd,wind_speed_80_m_above_gnd,wind_direction_80_m_above_gnd,wind_speed_900_mb,wind_direction_900_mb,wind_gust_10_m_above_gnd,angle_of_incidence,zenith,azimuth
2.66,81,1018.6,0.1,0.0,62.0,0,43,62,172.66,26.9,155.49,30.49,157.07,28.55,156.99,24.48,44.15173,57.822584,124.79746
8.11,50,1027.9,0.0,0.0,100.0,0,3,100,350.66,17.65,343.41,19.04,344.65,17.46,345.68,25.2,38.829136,69.945957,216.08981
14.73,75,1012.0,0.0,0.0,100.0,100,100,35,405.84,34.6,167.99,42.29,168.21,34.88,168.69,43.2,23.7541,54.459953,151.24884
7.29,79,1014.8,0.1,0.0,100.0,0,0,100,550.91,26.96,325.89,30.26,325.18,26.37,325.01,30.6,16.647204,55.10225,197.18729
17.17,50,1017.8,0.0,0.0,2.1,7,0,0,665.72,12.98,3.18,13.0,4.76,12.29,5.04,14.04,33.763693,36.077574,129.04515
15.51,24,1030.7,0.0,0.0,0.0,0,0,0,615.88,17.31,3.58,18.42,4.48,17.34,4.76,19.08,29.36219,44.541213,138.02018
8.78,74,1007.6,0.5,0.0,100.0,0,100,100,224.28,24.34,299.22,28.67,298.5,23.71,300.07,26.64,65.474379,61.171592,263.05861
27.8,22,1018.7,0.0,0.0,23.4,78,0,0,858.85,21.86,197.24,23.57,198.71,21.63,198.43,23.4,40.174799,36.958746,241.7154
20.72,43,1020.5,0.0,0.0,0.0,0,0,0,382.7,22.68,35.96,26.5,36.71,23.48,35.64,23.76,92.787124,75.807743,288.88203
16.98,50,1007.0,0.0,0.0,100.0,100,100,0,349.77,35.82,185.77,43.54,187.13,36.22,186.28,45.72,45.595779,43.389229,112.71889
17.44,35,1021.9,0.0,0.0,10.0,0,10,10,561.59,25.21,136.74,28.79,137.53,25.23,137.89,30.96,63.795143,63.66581,258.29781
17.87,74,1018.8,0.0,0.0,2.7,9,0,0,84.55,27.42,166.33,35.11,164.54,28.04,167.39,26.64,89.897997,73.801047,73.292069
19.08,27,1023.8,0.0,0.0,0.0,0,0,0,493.95,10.82,356.19,11.17,358.15,10.44,360.0,11.52,75.059675,81.553972,257.27098
26.14,26,1013.3,0.0,0.0,0.0,0,0,0,876.65,7.63,19.29,6.92,27.9,6.76,25.2,8.28,38.219543,35.249834,238.89684
7.88,74,1028.9,0.0,0.0,100.0,100,100,54,336.42,26.34,176.08,31.75,176.1,26.7,176.13,25.2,20.921196,64.021667,169.87117
24.78,17,1016.1,0.0,0.0,75.0,0,75,0,650.59,6.85,266.99,7.28,261.47,6.92,261.03,7.2,10.492191,43.011687,165.43688
31.94,10,1020.1,0.0,0.0,11.7,39,2,0,902.46,25.26,220.96,28.08,220.84,25.54,220.43,27.36,29.542384,27.698883,221.0749
13.77,60,1017.1,0.0,0.0,100.0,0,0,100,337.31,8.71,150.26,9.34,152.45,8.85,153.43,11.16,54.239953,43.492252,261.37433
